FILENAME,FILEENTRYID,COMPANYID,FOLDERID
fb3ea77a2b3f8e7cb0e4e6699568d43d_5842.jpg,255852,35901,177808
INDICAÇÃO-DOS-CURATIVOS-2019.pdf,91104,35901,91089
Catalogo-CPIP-3-Versao.pdf,91732,35901,90810
Informativo nº5.pdf,99545,35901,99059
Protocolo de Uso de Anticoagulantes na SES-DF.pdf,92271,35901,90213
Condutas Fisioterapêuticas em UTI Neonatal e Pediátrica.pdf,92487,35901,87400
Organograma SAIS.pdf,78471,35901,78436
Organograma SUPLANS.pdf,78482,35901,78436
Organograma SUAG.pdf,78493,35901,78436
Organograma SUGEP.pdf,78504,35901,78436
Organograma SINFRA.pdf,78526,35901,78436
Guia pré-natal do parceiro para profissionais de saúde.pdf,530025,35901,81531
Dispensa-de-Licitacao-34-2022-GLICOSAMINA-SULFATO-PO-GRANULADO-15-G-SACHE.rar,535599,35901,830183
OFICIO-01-20222-TRAVOPROSTA-SOLUCAO-OFTALMICA-004-MGML-FRASCO-CONTA-GOTA-25-ML.rar,535640,35901,830183
Dispensa-de-Licitacao-3188-2021-EQUIPO-PARENTERAL-PARA-BOMBA-DE-INFUSAO.zip,536045,35901,829551
Dispensa-de-Licitacao-3003-2021-MANTA-DE-POLIPROPILENO.rar,535757,35901,829551
Dispensa-Licitacao-3082-2021.rar,536302,35901,829551
Dispensa-de-Licitacao-3081-2021-Canula-de-traqueostomia-para-neonato.zip,536307,35901,829551
Dispensa-de-Licitacao-3074_2021-INSULINA-DEGLUDECA-100UML-SOL.-INJETAVEL-CARPULE-DE-VIDRO-3ML-SIST..zip,536325,35901,829551
Dispensa-de-Licitacao-3072-2021-CIPROFIBRATO-COMPRIMIDO-100MG.rar,536341,35901,829551
Portaria SES-DF n.º 340-2017 – Dispõe sobre prestação de serviço extraordinário na SES.pdf,74648,35901,74514
Portaria SES-DF n.º 235-2015 – Dispõe sobre delegação de competência ao Secretário – Adjunto.pdf,74655,35901,74514
Portaria SES-DF n.º 75-2017 – Dispõe sobre norma para remoção de servidores da Carreira da SES-DF.pdf,74685,35901,74514
Portaria SES-DF n.º 67-2016- Dispõe sobre critérios para controle eletrônico de frequencia dos Servidores da SES-DF.pdf,74696,35901,74514
Portaria nº 444 de 23_08_2017_Comissão de Gestão de Resíduos de Saúde – CGRS.pdf,74785,35901,74514
